이름,주소,운영 시간,평점,이미지 주소,SNS 링크,주차 정보,리뷰1,리뷰2,리뷰3,경치가 좋은,넓은,사람 많은,인테리어 예쁜,사진찍기 좋은,조용한
카페 런웨이,대구 중구 공평로 49 1층,"영업 중 23:00에 영업 종료 23시 0분에 영업 종료, 매일 11:30 - 23:00 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240802_224%2F1722605966771odHX3_JPEG%2F1000003130.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240802_141%2F1722605966584Rs0JQ_JPEG%2F1000003132.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240802_149%2F17226059665202vG7h_JPEG%2F1000003134.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240802_292%2F1722605965607G18y0_JPEG%2F1000003123.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240802_126%2F172260596660449jny_JPEG%2F1000003133.jpg""",링크 없음,"주차 불가, 주차는 매장 바로 뒤 , 정호유료주차장 또는 동성로 유료주차장을 이용하셔야합니다 죄송합니다",,,,0,0,0,0,0,0
코타커피,대구 중구 봉산문화길 86 1층,"영업 중 21:30에 라스트오더 21시 30분에 라스트오더, 매일 11:00 - 22:00 21:30 라스트오더 접기",4.54,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220808_113%2F1659937320736Bashr_JPEG%2F0E7B4BD4-EF37-4040-BDE9-3C6437C5F946.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220808_186%2F1659937323433qR120_JPEG%2F0890FD0C-B68B-46DD-B024-2FE43B6C4B02.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231106_144%2F1699257076791pM93r_JPEG%2FIMG_7539.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231106_176%2F1699257076766nzedj_JPEG%2FIMG_7515.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231106_127%2F1699257076672vHKEA_JPEG%2FIMG_7516.jpg""","""http://instagram.com/cottacoffee_""",알 수 없음,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,33,13,0,237,115,14
카페마리,대구 중구 달구벌대로440길 9-3 카페마리,"영업 중 02:00에 영업 종료 2시 0분에 영업 종료, 매일 10:00 - 02:00, - 오전10시부터 새벽 2시까지 영업하고 연중무휴예요 접기",4.78,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240612_226%2F1718185259455xMe85_JPEG%2FIMG_8519.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240713_106%2F17208721812332aAyx_JPEG%2FIMG_8636.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230327_75%2F16799005160189STWy_JPEG%2F382CC435-C7BE-448B-86D0-720B2223657C.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230327_103%2F1679900516464mQdxs_JPEG%2FF28CF1EA-BA82-4357-8DD0-6DEA5715B65F.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230327_231%2F1679900516035zgy8I_JPEG%2FF0374CBF-E589-4794-B84F-358380392E88.jpeg""","""https://www.instagram.com/cafemary_""","주차가능 무료, 카페 앞 주차 가능",인테리어가 멋져요,커피가 맛있어요,친절해요,96,66,1,515,181,49
이스베이커리 동성로,대구 중구 동성로6길 43 1층,"영업 중 21:00에 라스트오더 21시 0분에 라스트오더, 매일 10:00 - 22:00 21:00 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241018_256%2F1729237784687wTa40_JPEG%2FIMG_9040_VSCO.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241018_186%2F172923778458729gPV_JPEG%2FIMG_8962_VSCO.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241018_214%2F1729237784652GLay2_JPEG%2FIMG_8955_VSCO.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241018_28%2F1729237782954qTw6T_JPEG%2FIMG_8976_VSCO.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241018_228%2F1729237784408vs4dg_JPEG%2FIMG_9035_VSCO.jpeg""","""https://www.instagram.com/eathbakery""","주차 불가, 주차장 정보 없음",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,16,374,13,1090,275,106
카페 앙코르,대구 중구 동덕로30길 104-4,"영업 중 19:30에 라스트오더 19시 30분에 라스트오더, 토 12:00 - 20:00 19:30 라스트오더, 일 12:00 - 20:00 19:30 라스트오더, 월 08:00 - 20:00 19:30 라스트오더, 화 08:00 - 20:00 19:30 라스트오더, 수 08:00 - 20:00 19:30 라스트오더, 목 08:00 - 20:00 19:30 라스트오더, 금 08:00 - 20:00 19:30 라스트오더 접기",4.7,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220220_269%2F1645352803781XMNhw_JPEG%2F174BE7CC-A766-4E11-9F1C-C1CFA3A71DEC.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220220_214%2F1645352802408rwjDa_JPEG%2F99048B1A-BA89-41A1-9A2E-1A5DD64493C6.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220214_158%2F1644847279362hcFmI_PNG%2F35FC1C66-EC9E-414D-9BB4-2A335FDDE355.png, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA1MTRfMjc5%2FMDAxNjg0MDM2MjEyNTAz.VRCQ7YZnrtWjPGVgSu7k155u8bmYzcMHcMV49L5DA94g.6yZJ3cDpkMz8NQ8UmWsMdLU-BNUOla8dGFoFg3QCGG0g.JPEG%2FB161EBE3-B7CB-4877-93E0-AF4E25173918.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAxMjFfMTMz%2FMDAxNjc0Mjk1MTA2MTU1.mPz-ecf4Xze3pChS0qz81K9UPK_SQvTAW4o6rPYk3hAg.7c85iGFpIkdThSByZksfFOsqlgS0dZa2jYSQItEJJxUg.JPEG%2FC32575E6-EDC0-4249-AAF7-EB320F02C99C.jpeg""","""https://www.instagram.com/cafe_encore_""","주차 불가, 주차장 정보 없음",커피가 맛있어요,친절해요,디저트가 맛있어요,5,5,0,78,32,17
블랙베어도넛 대구점,대구 중구 봉산문화1길 20 지상1층,"영업 중 21:00에 영업 종료 21시 0분에 영업 종료, 토 11:00 - 21:00, 일 정기휴무 (매주 일요일), 월 11:00 - 21:00, 화 11:00 - 21:00, 수 11:00 - 21:00, 목 11:00 - 21:00, 금 11:00 - 21:00 접기",4.44,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190827_8%2F1566894738169lx26S_JPEG%2FQPCIUm-gicPbrLaOMLQ-2MQV.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190825_97%2F1566708063042CKHEQ_JPEG%2FPWvCMSE2bI7MmpekyQAItHCo.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190827_243%2F1566894725262T9Vns_JPEG%2Fm6Am7peHeck7Xo1YXclTxV9S.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190827_237%2F1566894752920j6Xy0_JPEG%2FkhEGM1u9aZIl8Zlv5ukD0_Vf.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190827_180%2F1566894772637B4VOa_JPEG%2FSoK9QYjwN8Qwt8ledmdJtXyx.jpeg.jpg""","""http://www.instagram.com/blackbear.donut""",알 수 없음,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,2,5,0,39,20,2
샬로우커피 대구삼덕점,대구 중구 국채보상로150길 31 1층,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 매일 11:00 - 22:00 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230128_30%2F1674841454047pkHOY_JPEG%2F58891040-811E-4E24-80DA-FE9E721BD0F5.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230405_294%2F1680668864560wh11f_JPEG%2FKakaoTalk_20230403_180738932_03.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230128_28%2F1674841453366AMC4b_JPEG%2F68C16158-34FE-4AA1-B78D-70759488D1D6.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230405_201%2F1680668865460aqgam_JPEG%2FKakaoTalk_20230403_180738932_11.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230405_142%2F1680668865732sMAvF_JPEG%2FKakaoTalk_20230403_180738932_12.jpg""","""https://www.instagram.com/shallow.samdeok""",알 수 없음,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,6,21,0,190,140,7
리노운,"대구 중구 봉산문화길 37 1층, 중구 청소년 문화의집 맞은편","영업 중 18:55에 라스트오더 18시 55분에 라스트오더, 매일 11:00 - 19:00 18:55 라스트오더, - 부득이하게 영업 시간 변경이 생기면 인스타로 공지합니다 접기",4.79,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241009_174%2F1728461329762Dx8ze_JPEG%2FKakaoTalk_20241009_163037346_01.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241009_26%2F1728461329815TPKRs_JPEG%2FKakaoTalk_20241009_163037346_14.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241009_230%2F1728461329813ISIUM_JPEG%2FKakaoTalk_20241009_163037346.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241009_19%2F17284614455749qFEg_JPEG%2FKakaoTalk_20241009_171006079.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241009_169%2F1728461329600MRYPI_JPEG%2FKakaoTalk_20241009_163037346_17.jpg""","""https://www.facebook.com/people/%EB%A6%AC%EB%85%B8%EC%9A%B4-Renown/100070914165224/?mibextid=JRoKGi, http://instagram.com/renown_official""","주차가능 유료, 1. 반월당역에서 오시는 길 반월당역 9번 출구에서 봉산 문화회관 방면으로 우회전하여 1분 정도만 걸어 들어오시 면, 봉산 교회가 보입니다. 거기서 계속 직진하시면 봉산 청소년 문화 회관이 보이고, 그 맞은 편에 위치해 ...",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,28,7,0,367,198,21
영원미학,대구 중구 경상감영길 227 4층,"영업 중 23:00에 영업 종료 23시 0분에 영업 종료, 토 12:00 - 23:00, 일 12:00 - 23:00, 월 12:00 - 23:00, 화 12:00 - 23:00, 수 12:00 - 23:00, 목 12:00 - 23:00, 금 12:00 - 23:00 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240901_254%2F1725159886973vSvjQ_JPEG%2F0354A8C1-6C0C-4BA0-8F52-84C4152F00E6.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240726_238%2F1721951419213GFdxb_JPEG%2FIMG_9806.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240901_228%2F1725159887303z9LAu_JPEG%2FIMG_0071.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240726_121%2F17219514189184p3VQ_JPEG%2FIMG_9597.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230626_109%2F16877601577026LV4R_JPEG%2FKakaoTalk_20230626_120458551_01.jpg""","""https://www.instagram.com/youngwon_mihak""","주차 불가, 주차장 정보 없음",인테리어가 멋져요,사진이 잘 나와요,디저트가 맛있어요,5,44,0,269,192,11
오아드,대구 중구 봉산문화길 68 1층 오아드,"영업 중 20:00에 라스트오더 20시 0분에 라스트오더, 토 12:00 - 21:00 20:00 라스트오더, 일 12:00 - 21:00 20:00 라스트오더, 월 정기휴무 (매주 월요일), 화 12:00 - 21:00 20:00 라스트오더, 수 12:00 - 21:00 20:00 라스트오더, 목 12:00 - 21:00 20:00 라스트오더, 금 12:00 - 21:00 20:00 라스트오더 접기",4.57,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230816_188%2F16921591345164d653_JPEG%2FIMG_5617.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230817_87%2F1692204500223GK5er_JPEG%2FKakaoTalk_20230816_132752491_07.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230817_77%2F1692204570680efQpI_JPEG%2FKakaoTalk_20230816_132752491_06.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230817_131%2F1692204483119Kxr2t_JPEG%2FKakaoTalk_20210621_004428580_03.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230817_197%2F1692204505515L2YPu_JPEG%2FKakaoTalk_20230816_132700997_06.jpg""","""http://www.instagram.com/cafe_oad""","주차 불가, 주차장 정보 없음",커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,0,72,0,113,42,11
피삼사,대구 중구 국채보상로 643 2층,"영업 중 24:00에 영업 종료 0시 0분에 영업 종료, 토 12:00 - 24:00, 일 12:00 - 24:00, 월 12:00 - 24:00, 화 12:00 - 24:00, 수 12:00 - 24:00, 목 정기휴무 (매주 목요일), 금 12:00 - 24:00 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240813_98%2F1723529543129bDx0q_JPEG%2FE36984AF-A5D1-43E1-B259-4C5E97B5DB2C.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230629_166%2F1688021229351zVmcm_JPEG%2F85548105-FFE3-4BD5-9693-F7D91149DDD5.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230629_102%2F1688021229645IkDnQ_JPEG%2FCA5872EA-AD08-45CE-A42A-A0A951F2A72E.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230629_12%2F1688021236152GWYpR_JPEG%2F39FC0B80-4953-427E-94D0-7E8A01B2EE78.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230629_289%2F1688021229538sKoU6_JPEG%2FE3530B9F-2C39-45E5-88C2-22E6AA9D9685.jpeg""",링크 없음,알 수 없음,,,,0,0,0,0,0,0
우드무드,"대구 중구 태평로28길 24 1, 2층","영업 중 19:00에 라스트오더 19시 0분에 라스트오더, 토 11:00 - 19:30 19:00 라스트오더, 일 11:00 - 19:30 19:00 라스트오더, 월 11:00 - 19:30 19:00 라스트오더, 화 11:00 - 19:30 19:00 라스트오더, 수 11:00 - 19:30 19:00 라스트오더, 목 정기휴무 (매주 목요일), 금 11:00 - 19:30 19:00 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240426_189%2F1714100563867DWF5N_JPEG%2FE67A65A2-E653-48B7-99FB-3AA44F3728E8.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240513_68%2F1715577765790gAwYB_JPEG%2FIMG_4543.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240513_240%2F1715577762040FWt8B_JPEG%2FA8E1F5AB-11EA-439E-8CA7-24B552CC4870.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240513_32%2F1715577765010zHjeu_JPEG%2F35858DF7-9666-4D4F-828F-6B6AA8F8C59C.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240419_158%2F1713497335066eQgaD_JPEG%2F72518672-131A-4FDF-9F6E-BBAD991CB31C.jpeg""","""https://www.instagram.com/woodmood_coffee""",알 수 없음,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,1,3,0,33,16,2
모리스커피 교동점,대구 중구 경상감영길 176 패션주얼리전문타운 1층,"영업 중 22:00에 영업 종료 22시 0분에 영업 종료, 매일 09:00 - 22:00 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240208_67%2F1707395306989o2bYV_JPEG%2FIMG_5784.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240208_276%2F1707388003944qOWwc_JPEG%2F%25B1%25B3%25B5%25BF%25BB%25E7%25C1%25F812.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240208_219%2F1707388078333wWIUA_JPEG%2F%25B1%25B3%25B5%25BF%25BB%25E7%25C1%25F814.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240208_299%2F1707388055486dWxxJ_JPEG%2F%25B1%25B3%25B5%25BF%25BB%25E7%25C1%25F816.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240208_255%2F1707388005759qKKq5_JPEG%2F%25B1%25B3%25B5%25BF%25BB%25E7%25C1%25F8.jpeg""",링크 없음,"주차가능 유료, 대구 교동 패션주얼리전문타운 (대구 중구 경상감영길 176 패션주얼리전문타운)지하 1층에 주차 가능합니다. 주차권,모리스 커피 영수증을 들고 가시면 2시간 무료에요.",커피가 맛있어요,인테리어가 멋져요,친절해요,9,1,0,104,43,6
책빵고스란히,대구 중구 국채보상로150길 65-3 1층,"오늘 휴무 11/02 휴무 11/02 휴무, 토(11/2) 휴무, 일 11:30 - 19:00 18:30 라스트오더, 월 11:30 - 19:00 18:30 라스트오더, 화 정기휴무 (매주 화요일), 수 정기휴무 (매주 수요일), 목 11:30 - 19:00 18:30 라스트오더, 금 11:30 - 19:00 18:30 라스트오더, - 11월 2일(토)은 바리바리 장터에서 뵈어요 :) 접기",4.75,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230416_277%2F1681628453547iMYga_JPEG%2FKakaoTalk_20230416_155856397.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA4MDZfMTk4%2FMDAxNjU5NzcxMDg3MDQ0.8n1kmzauz-AqdMRUN9zFMdi5D_GbhxJ8wXGSVTCw-jMg.-SKrnPa7uNFmkAJrrucXnWYQKqlQa5Lh8Cg1bkpZgFkg.JPEG%2Fupload_d38dcdf1a96e204f48b55cd4cf4e085f.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjEwMDdfMTkz%2FMDAxNjY1MTA1OTY2MjEx.XqmEy314KC6Bn2pkgN9BzCiKEHPyS_BZaI9E5NJJpwYg.JTwxLMGY3VxMbh91YvVkCOTXBUstmtfR68egbK30g7sg.JPEG%2FD5E6B54A-B838-4628-82B7-9268EB735CE3.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMjA4MDZfMTc4%2FMDAxNjU5NzcxMDg2NTAx.OCs3DnSOJ0v1TWfuoUPPTf61-KjSGg_-g58nmrxCSQwg.vMFcZob4bIq8gK2x4DEyX-vtUK-JPz_MFAKUT_pcZDkg.JPEG%2Fupload_9536948a619098808a46a8a212a66a30.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzA0MTVfMTM5%2FMDAxNjgxNTM2NjU5NDcz.1qmt52EkyJCSrqWWH8DKv7hRX-sjqTQjBLxXgyaj4cwg.t-DLqdH7zArxkdNfucGVzv2XFYYWUAR6F7sUbktZ_4kg.JPEG%2F20230415_140701.jpg""","""http://www.instagram.com/gosranhi_breadbook""","주차 불가, 주차장 정보 없음",빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,3,9,0,28,6,27
피와이지,대구 중구 달구벌대로443길 40 1층,"영업 중 20:30에 라스트오더 20시 30분에 라스트오더, 매일 09:00 - 22:00 20:30 라스트오더 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240425_7%2F1714026376632YSGAP_JPEG%2FKakaoTalk_Photo_2024-04-25-15-25-18.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240325_252%2F1711353950569vGEsF_JPEG%2F_LJH2539.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240617_85%2F17186068593889Gy6l_JPEG%2FKakaoTalk_Photo_2024-06-17-15-47-23.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240325_184%2F1711353962795ilB27_JPEG%2F_LJH2597.jpg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240510_102%2F1715315490447Dla9Q_JPEG%2FKakaoTalk_Photo_2024-05-10-13-25-47_002.jpeg""","""https://www.instagram.com/pyg_kor?igsh=bjZreWZ0OWkydWwz""","주차 불가, 인근 유료 주차장 이용하시면 됩니다.",인테리어가 멋져요,커피가 맛있어요,음식이 맛있어요,4,8,0,38,19,1
번드시,대구 중구 동성로4길 111 2층,"영업 중 21:30에 라스트오더 21시 30분에 라스트오더, 토 12:00 - 22:00 21:30 라스트오더, 일 12:00 - 22:00 21:30 라스트오더, 월(11/4) 정기휴무 (매달 1번째 월요일), 화 12:00 - 22:00 21:30 라스트오더, 수 12:00 - 22:00 21:30 라스트오더, 목 12:00 - 22:00 21:30 라스트오더, 금 12:00 - 22:00 21:30 라스트오더, 매달 1번째 월요일 정기 휴무 접기",평점 없음,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240715_80%2F1721051462178z4flR_JPEG%2FIMG_5903.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240818_76%2F1723978201346qx9BC_JPEG%2FIMG_6672.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240813_199%2F1723550010845wVzQc_JPEG%2FIMG_6609.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240715_5%2F1721051319659f2hVe_JPEG%2FIMG_6039.jpeg, https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240914_40%2F1726273192964HxW6V_JPEG%2FIMG_6948.jpeg""",링크 없음,"주차가능 유료, 매장 앞 양심 주차장 (유료) 국채보상운동기념공원 공영주차장 (유료)",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,2,14,0,82,39,12
